Part Number,Finish,Length,Units,List Price,Page Number(s)
AS-3532,Bronze,,1 pc.,386,E2-13
AS-3532,Paint,,1 pc.,453,E2-13
AS-3539,Mill,,1 pc.,494,E2-14
AS-3566,Mill,,1 pc.,335,E2-13
AS-3569,Mill,,1 pc.,251,"E2-13, E2-28"
AS-3572,Mill,,1 pc.,231,E2-3
AS-3574,Mill,,1 pc.,212,"E2-3, E2-13, E2-28, E5-3, E5-9, E5-16, I1-22"
AS-3576,Mill,,1 pc.,275,"E2-13, E2-28"
AS-3617,Black,,1 pc.,248,"E2-13, E6-3"
AS-3618,Polyamide,,1 pc.,272,E3-2
AS-3906,Mill,,1 pc.,243,"E6-3, E6-13, E6-21"
"Part Number                  Finish             Length              Units               List Price         Page Number(s)
or Pkg                per Unit",,,,,
AS-3907,Mill,24’ - 0”,1 pc.,224,E6-3
AS-3907,Clear,24’ - 0”,1 pc.,240,E6-3
AS-3907,Bronze,24’ - 0”,1 pc.,243,E6-3
AS-3907,Paint,24’ - 0”,1 pc.,272,E6-3
AS-3920,Mill,24’ - 0”,1 pc.,243,E6-13
AS-3920,Clear,24’ - 0”,1 pc.,257,E6-13
AS-3920,Bronze,24’ - 0”,1 pc.,263,E6-13
AS-3920,Paint,24’ - 0”,1 pc.,297,E6-13
AS-3921,Mill,24’ - 0”,1 pc.,254,E6-21
AS-3921,Clear,24’ - 0”,1 pc.,270,E6-21
AS-3921,Bronze,24’ - 0”,1 pc.,275,E6-21
AS-3921,Paint,24’ - 0”,1 pc.,315,E6-21
AS-3958,Mill,24’ - 0”,1 pc.,218,E7-4
AS-9480,Bronze,24’ - 0”,1 pc.,681,"C4-4, C4-10"
AS-9480,Clear,24’ - 0”,1 pc.,681,"C4-4, C4-10"
AS-9480,Paint,24’ - 0”,1 pc.,972,"C4-4, C4-10"
AS-9562,Bronze,24’ - 0”,1 pc.,605,"C4-4, C4-10"
AS-9562,Clear,24’ - 0”,1 pc.,605,"C4-4, C4-10"
AS-9562,Paint,24’ - 0”,1 pc.,795,"C4-4, C4-10"
BE9-0465,Mill,24’ - 0”,1 pc.,347,"C3-6, C3-16, C3-23, C3-29, C4-12, C4-27, D2-12, D5-16, D6-12"
BE9-0631,Clear,24’ - 0”,1 pc.,786,F1-15
BE9-0631,Bronze,24’ - 0”,1 pc.,812,F1-15
BE9-0631,Paint,24’ - 0”,1 pc.,996,F1-15
BE9-0632,Clear,24’ - 0”,1 pc.,677,F1-15
BE9-0632,Bronze,24’ - 0”,1 pc.,687,F1-15
BE9-0632,Paint,24’ - 0”,1 pc.,839,F1-15
BE9-0634,Clear,24’ - 0”,1 pc.,672,F1-16
BE9-0634,Bronze,24’ - 0”,1 pc.,701,F1-16
BE9-0634,Paint,24’ - 0”,1 pc.,869,F1-16
BE9-0635,Clear,24’ - 0”,1 pc.,741,F1-16
BE9-0635,Bronze,24’ - 0”,1 pc.,771,F1-16
BE9-0635,Paint,24’ - 0”,1 pc.,947,F1-16
BE9-0636,Clear,24’ - 0”,1 pc.,675,F1-15
BE9-0636,Bronze,24’ - 0”,1 pc.,683,F1-15
BE9-0636,Paint,24’ - 0”,1 pc.,861,F1-15
BE9-0637,Clear,24’ - 0”,1 pc.,732,F1-15
BE9-0637,Bronze,24’ - 0”,1 pc.,746,F1-15
BE9-0637,Paint,24’ - 0”,1 pc.,926,F1-15
BE9-0638,Clear,24’ - 0”,1 pc.,749,F1-15
