Part Number,Finish,Length,Units,List Price,Page Number(s)
BE9-1445,Bronze,24’ - 0”,1 pc.,260.0,C7-2
BE9-1445,Paint,24’ - 0”,1 pc.,281.0,C7-2
BE9-1447,Clear,24’ - 0”,1 pc.,297.0,C7-2
BE9-1447,Bronze,24’ - 0”,1 pc.,312.0,C7-2
BE9-1447,Paint,24’ - 0”,1 pc.,368.0,C7-2
BE9-1448,Clear,24’ - 0”,1 pc.,434.0,C7-2
BE9-1448,Bronze,24’ - 0”,1 pc.,474.0,C7-2
BE9-1448,Paint,24’ - 0”,1 pc.,480.0,C7-2
BE9-1449,Clear,24’ - 0”,1 pc.,446.0,C7-2
BE9-1449,Bronze,24’ - 0”,1 pc.,486.0,C7-2
BE9-1449,Paint,24’ - 0”,1 pc.,491.0,C7-2
BE9-1461,Clear,24’ - 0”,1 pc.,404.0,C7-2
BE9-1461,Bronze,24’ - 0”,1 pc.,444.0,C7-2
BE9-1461,Paint,24’ - 0”,1 pc.,639.0,C7-2
BE9-1462,Clear,24’ - 0”,1 pc.,243.0,C7-2
BE9-1462,Bronze,24’ - 0”,1 pc.,260.0,C7-2
BE9-1462,Paint,24’ - 0”,1 pc.,359.0,C7-2
BE9-1463,Clear,24’ - 0”,1 pc.,599.0,C7-2
BE9-1463,Bronze,24’ - 0”,1 pc.,602.0,C7-2
BE9-1463,Paint,24’ - 0”,1 pc.,629.0,C7-2
BE9-1503,Clear,24’ - 0”,1 pc.,477.0,C3-20
BE9-1503,Bronze,24’ - 0”,1 pc.,483.0,C3-20
BE9-1503,Paint,24’ - 0”,1 pc.,656.0,C3-20
BE9-1504,Clear,24’ - 0”,1 pc.,438.0,C3-20
BE9-1504,Bronze,24’ - 0”,1 pc.,506.0,C3-20
BE9-1504,Paint,24’ - 0”,1 pc.,618.0,C3-20
BE9-1506,Clear,24’ - 0”,1 pc.,497.0,C3-20
BE9-1506,Bronze,24’ - 0”,1 pc.,515.0,C3-20
BE9-1506,Paint,24’ - 0”,1 pc.,683.0,C3-20
BE9-1507,Clear,24’ - 0”,1 pc.,555.0,C3-20
BE9-1507,Bronze,24’ - 0”,1 pc.,561.0,C3-20
BE9-1507,Paint,24’ - 0”,1 pc.,767.0,C3-20
BE9-1509,Clear,24’ - 0”,1 pc.,272.0,C3-21
BE9-1509,Bronze,24’ - 0”,1 pc.,305.0,C3-21
BE9-1509,Paint,24’ - 0”,1 pc.,453.0,C3-21
BE9-1510,Clear,24’ - 0”,1 pc.,264.0,C3-20
BE9-1510,Bronze,24’ - 0”,1 pc.,323.0,C3-20
BE9-1510,Paint,24’ - 0”,1 pc.,425.0,C3-20
BE9-1511,Clear,24’ - 0”,1 pc.,596.0,C3-21
BE9-1511,Bronze,24’ - 0”,1 pc.,680.0,C3-21
BE9-1511,Paint,24’ - 0”,1 pc.,924.0,C3-21
BE9-1512,Clear,24’ - 0”,1 pc.,197.0,C3-17
BE9-1512,Bronze,24’ - 0”,1 pc.,228.0,C3-17
BE9-1512,Paint,24’ - 0”,1 pc.,339.0,C3-17
BE9-1513,Clear,24’ - 0”,1 pc.,621.0,"C3-3, C3-20, C3-28"
Index-56,,,,,
BE9-1513,Bronze,24’ - 0”,1 pc.,702.0,"C3-3, C3-20, C3-28"
BE9-1513,Paint,24’ - 0”,1 pc.,1022.0,"C3-3, C3-20, C3-28"
BE9-1514,Clear,24’ - 0”,1 pc.,827.0,"C3-3, C3-20"
BE9-1514,Bronze,24’ - 0”,1 pc.,912.0,"C3-3, C3-20"
BE9-1514,Paint,24’ - 0”,1 pc.,1196.0,"C3-3, C3-20"
BE9-1515,Clear,24’ - 0”,1 pc.,815.0,C3-20
BE9-1515,Bronze,24’ - 0”,1 pc.,821.0,C3-20
BE9-1515,Paint,24’ - 0”,1 pc.,896.0,C3-20
BE9-1516,Clear,24’ - 0”,1 pc.,495.0,C3-21
BE9-1516,Bronze,24’ - 0”,1 pc.,497.0,C3-21
BE9-1516,Paint,24’ - 0”,1 pc.,647.0,C3-21
BE9-1517,Clear,24’ - 0”,1 pc.,519.0,C3-21
BE9-1517,Bronze,24’ - 0”,1 pc.,542.0,C3-21
BE9-1517,Paint,24’ - 0”,1 pc.,564.0,C3-21
BE9-1518,Clear,24’ - 0”,1 pc.,509.0,C3-20
BE9-1518,Bronze,24’ - 0”,1 pc.,530.0,C3-20
BE9-1518,Paint,24’ - 0”,1 pc.,693.0,C3-20
BE9-1519,Bronze,24’ - 0”,1 pc.,333.0,C3-20
BE9-1519,Clear,24’ - 0”,1 pc.,333.0,C3-20
BE9-1519,Paint,24’ - 0”,1 pc.,410.0,C3-20
BE9-1520,Clear,24’ - 0”,1 pc.,449.0,C3-21
BE9-1520,Bronze,24’ - 0”,1 pc.,471.0,C3-21
BE9-1520,Paint,24’ - 0”,1 pc.,477.0,C3-21
BE9-1521,Clear,24’ - 0”,1 pc.,588.0,C3-21
BE9-1521,Bronze,24’ - 0”,1 pc.,651.0,C3-21
BE9-1521,Paint,24’ - 0”,1 pc.,917.0,C3-21
BE9-1522,Clear,24’ - 0”,1 pc.,453.0,C3-21
BE9-1522,Bronze,24’ - 0”,1 pc.,537.0,C3-21
BE9-1522,Paint,24’ - 0”,1 pc.,624.0,C3-21
BE9-1523,Clear,24’ - 0”,1 pc.,414.0,C3-21
BE9-1523,Bronze,24’ - 0”,1 pc.,495.0,C3-21
BE9-1523,Paint,24’ - 0”,1 pc.,587.0,C3-21
BE9-1526,Clear,24’ - 0”,1 pc.,425.0,"D7-6, D7-11, D8-6, E6-4, E6-14, E6-22, E7-6"
BE9-1526,Bronze,24’ - 0”,1 pc.,449.0,"D7-6, D7-11, D8-6, E6-4, E6-14, E6-22, E7-6"
BE9-1526,Paint,24’ - 0”,1 pc.,587.0,"D7-6, D7-11, D8-6, E6-4, E6-14, E6-22, E7-6"
BE9-1701,Clear,24’ - 0”,1 pc.,570.0,"D2-4, D2-6"
BE9-1701,Bronze,24’ - 0”,1 pc.,590.0,"D2-4, D2-6"
BE9-1701,Paint,24’ - 0”,1 pc.,656.0,"D2-4, D2-6"
BE9-1703,Clear,24’ - 0”,1 pc.,530.0,D2-6
BE9-1703,Bronze,24’ - 0”,1 pc.,570.0,D2-6
BE9-1703,Paint,24’ - 0”,1 pc.,612.0,D2-6
BE9-1704,Clear,24’ - 0”,1 pc.,570.0,"D2-4, D2-6, D2-8"
BE9-1704,Bronze,24’ - 0”,1 pc.,608.0,"D2-4, D2-6, D2-8"
BE9-1704,Paint,24’ - 0”,1 pc.,642.0,"D2-4, D2-6, D2-8"
BE9-1706,Clear,24’ - 0”,1 pc.,582.0,D2-6
BE9-1706,Bronze,24’ - 0”,1 pc.,605.0,D2-6
